elapsed, window, total, successful, failed
10, 10, 165187, 165187, 0
20, 10, 164800, 164800, 0
30, 10, 164884, 164884, 0
40, 10, 164749, 164749, 0
50, 10, 164828, 164828, 0
60, 10, 164721, 164721, 0
70, 10, 164827, 164827, 0
80, 10, 164747, 164747, 0
90, 10, 164890, 164890, 0
100, 10, 164970, 164970, 0
110, 10, 164433, 164433, 0
120, 10, 164568, 164568, 0
130, 10, 164693, 164693, 0
140, 10, 165069, 165069, 0
150, 10, 164345, 164345, 0
160, 10, 164569, 164569, 0
170, 10, 165033, 165033, 0
180, 10, 164528, 164528, 0
190, 10, 164706, 164706, 0
200, 10, 165010, 165010, 0
210, 10, 165131, 165131, 0
220, 10, 165201, 165201, 0
230, 10, 164856, 164856, 0
240, 10, 165237, 165237, 0
250, 10, 164904, 164904, 0
260, 10, 164769, 164769, 0
270, 10, 164854, 164854, 0
280, 10, 164911, 164911, 0
290, 10, 165096, 165096, 0
300, 10, 164669, 164669, 0
310, 10, 165381, 165381, 0
320, 10, 164802, 164802, 0
330, 10, 164849, 164849, 0
340, 10, 165060, 165060, 0
350, 10, 164426, 164426, 0
360, 10, 164673, 164673, 0
370, 10, 164686, 164686, 0
380, 10, 164499, 164499, 0
390, 10, 164616, 164616, 0
400, 10, 164506, 164506, 0
410, 10, 164542, 164542, 0
420, 10, 164669, 164669, 0
430, 10, 164522, 164522, 0
440, 10, 165090, 165090, 0
450, 10, 164677, 164677, 0
460, 10, 165014, 165014, 0
470, 10, 164520, 164520, 0
480, 10, 164762, 164762, 0
490, 10, 165086, 165086, 0
500, 10, 164846, 164846, 0
510, 10, 164356, 164356, 0
520, 10, 164411, 164411, 0
530, 10, 164990, 164990, 0
540, 10, 165298, 165298, 0
550, 10, 164813, 164813, 0
560, 10, 164439, 164439, 0
570, 10, 164695, 164695, 0
580, 10, 164922, 164922, 0
590, 10, 164888, 164888, 0
600, 10, 164974, 164974, 0
610, 10, 165342, 165342, 0
620, 10, 164875, 164875, 0
630, 10, 164843, 164843, 0
640, 10, 164735, 164735, 0
650, 10, 164881, 164881, 0
660, 10, 164284, 164284, 0
670, 10, 164669, 164669, 0
680, 10, 164222, 164222, 0
690, 10, 165041, 165041, 0
700, 10, 164897, 164897, 0
710, 10, 164936, 164936, 0
720, 10, 164586, 164586, 0
730, 10, 164786, 164786, 0
740, 10, 165089, 165089, 0
750, 10, 164942, 164942, 0
760, 10, 164582, 164582, 0
770, 10, 164937, 164937, 0
780, 10, 165294, 165294, 0
790, 10, 165036, 165036, 0
800, 10, 165091, 165091, 0
810, 10, 164695, 164695, 0
820, 10, 164258, 164258, 0
830, 10, 164633, 164633, 0
840, 10, 165586, 165586, 0
850, 10, 164604, 164604, 0
860, 10, 165317, 165317, 0
870, 10, 165384, 165384, 0
880, 10, 164904, 164904, 0
890, 10, 164801, 164801, 0
900, 10, 164786, 164786, 0
910, 10, 164564, 164564, 0
920, 10, 164344, 164344, 0
930, 10, 164584, 164584, 0
940, 10, 165265, 165265, 0
950, 10, 165190, 165190, 0
960, 10, 164674, 164674, 0
970, 10, 164776, 164776, 0
980, 10, 164713, 164713, 0
990, 10, 164931, 164931, 0
1000, 10, 164999, 164999, 0
1010, 10, 165094, 165094, 0
1020, 10, 165083, 165083, 0
1030, 10, 164843, 164843, 0
1040, 10, 164742, 164742, 0
1050, 10, 164636, 164636, 0
1060, 10, 164855, 164855, 0
1070, 10, 165030, 165030, 0
1080, 10, 164855, 164855, 0
1090, 10, 165241, 165241, 0
1100, 10, 165379, 165379, 0
1110, 10, 164864, 164864, 0
1120, 10, 164786, 164786, 0
1130, 10, 164647, 164647, 0
1140, 10, 165288, 165288, 0
1150, 10, 164946, 164946, 0
1160, 10, 164823, 164823, 0
1170, 10, 165174, 165174, 0
1180, 10, 165086, 165086, 0
1190, 10, 165471, 165471, 0
1200, 10, 165009, 165009, 0
1201, 1, 14757, 14757, 0
