elapsed, window, total, successful, failed
10, 10, 102317, 102317, 0
20, 10, 102134, 102134, 0
30, 10, 102056, 102056, 0
40, 10, 102162, 102162, 0
50, 10, 102320, 102320, 0
60, 10, 102027, 102027, 0
70, 10, 102289, 102289, 0
80, 10, 102383, 102383, 0
90, 10, 101935, 101935, 0
100, 10, 102191, 102191, 0
110, 10, 102269, 102269, 0
120, 10, 102286, 102286, 0
130, 10, 102452, 102452, 0
140, 10, 102300, 102300, 0
150, 10, 102261, 102261, 0
160, 10, 102002, 102002, 0
170, 10, 102218, 102218, 0
180, 10, 102404, 102404, 0
190, 10, 102201, 102201, 0
200, 10, 102355, 102355, 0
210, 10, 102145, 102145, 0
220, 10, 102176, 102176, 0
230, 10, 102126, 102126, 0
240, 10, 102043, 102043, 0
250, 10, 102054, 102054, 0
260, 10, 102348, 102348, 0
270, 10, 101967, 101967, 0
280, 10, 102347, 102347, 0
290, 10, 102198, 102198, 0
300, 10, 101974, 101974, 0
310, 10, 102130, 102130, 0
320, 10, 102147, 102147, 0
330, 10, 102338, 102338, 0
340, 10, 102318, 102318, 0
350, 10, 102270, 102270, 0
360, 10, 102384, 102384, 0
370, 10, 102308, 102308, 0
380, 10, 102352, 102352, 0
390, 10, 102450, 102450, 0
400, 10, 102200, 102200, 0
410, 10, 102351, 102351, 0
420, 10, 102132, 102132, 0
430, 10, 102155, 102155, 0
440, 10, 102293, 102293, 0
450, 10, 102221, 102221, 0
460, 10, 102352, 102352, 0
470, 10, 102345, 102345, 0
480, 10, 102046, 102046, 0
490, 10, 102225, 102225, 0
500, 10, 102098, 102098, 0
510, 10, 102217, 102217, 0
520, 10, 102083, 102083, 0
530, 10, 101999, 101999, 0
540, 10, 102177, 102177, 0
550, 10, 102180, 102180, 0
560, 10, 102290, 102290, 0
570, 10, 102364, 102364, 0
580, 10, 102246, 102246, 0
590, 10, 102264, 102264, 0
600, 10, 102261, 102261, 0
610, 10, 102270, 102270, 0
620, 10, 101956, 101956, 0
630, 10, 102194, 102194, 0
640, 10, 102289, 102289, 0
650, 10, 102316, 102316, 0
660, 10, 102299, 102299, 0
670, 10, 102431, 102431, 0
680, 10, 102372, 102372, 0
690, 10, 102330, 102330, 0
700, 10, 102184, 102184, 0
710, 10, 102102, 102102, 0
720, 10, 102200, 102200, 0
730, 10, 102278, 102278, 0
740, 10, 102161, 102161, 0
750, 10, 102199, 102199, 0
760, 10, 102208, 102208, 0
770, 10, 102377, 102377, 0
780, 10, 102146, 102146, 0
790, 10, 102301, 102301, 0
800, 10, 102206, 102206, 0
810, 10, 102071, 102071, 0
820, 10, 102262, 102262, 0
830, 10, 102042, 102042, 0
840, 10, 102124, 102124, 0
850, 10, 102311, 102311, 0
860, 10, 101848, 101848, 0
870, 10, 102382, 102382, 0
880, 10, 102016, 102016, 0
890, 10, 102110, 102110, 0
900, 10, 102248, 102248, 0
910, 10, 102140, 102140, 0
920, 10, 102150, 102150, 0
930, 10, 102143, 102143, 0
940, 10, 102121, 102121, 0
950, 10, 102259, 102259, 0
960, 10, 102477, 102477, 0
970, 10, 102262, 102262, 0
980, 10, 102133, 102133, 0
990, 10, 102131, 102131, 0
1000, 10, 102219, 102219, 0
1010, 10, 102208, 102208, 0
1020, 10, 102431, 102431, 0
1030, 10, 102322, 102322, 0
1040, 10, 102226, 102226, 0
1050, 10, 102244, 102244, 0
1060, 10, 102142, 102142, 0
1070, 10, 102148, 102148, 0
1080, 10, 102188, 102188, 0
1090, 10, 102115, 102115, 0
1100, 10, 102149, 102149, 0
1110, 10, 102068, 102068, 0
1120, 10, 102013, 102013, 0
1130, 10, 102355, 102355, 0
1140, 10, 102252, 102252, 0
1150, 10, 102235, 102235, 0
1160, 10, 102177, 102177, 0
1170, 10, 102420, 102420, 0
1180, 10, 102280, 102280, 0
1190, 10, 102372, 102372, 0
1200, 10, 102473, 102473, 0
1201, 1, 8975, 8975, 0
