elapsed, window, total, successful, failed
10, 10, 216295, 216295, 0
20, 10, 215635, 215635, 0
30, 10, 216189, 216189, 0
40, 10, 216467, 216467, 0
50, 10, 216903, 216903, 0
60, 10, 211358, 211358, 0
70, 10, 213931, 213931, 0
80, 10, 213931, 213931, 0
90, 10, 215245, 215245, 0
100, 10, 215555, 215555, 0
110, 10, 215619, 215619, 0
120, 10, 214753, 214753, 0
130, 10, 212646, 212646, 0
140, 10, 213974, 213974, 0
150, 10, 215126, 215126, 0
160, 10, 215241, 215241, 0
170, 10, 216322, 216322, 0
180, 10, 216538, 216538, 0
190, 10, 212560, 212560, 0
200, 10, 214189, 214189, 0
210, 10, 215258, 215258, 0
220, 10, 215729, 215729, 0
230, 10, 215364, 215364, 0
240, 10, 216198, 216198, 0
250, 10, 215296, 215296, 0
260, 10, 212163, 212163, 0
270, 10, 214355, 214355, 0
280, 10, 214733, 214733, 0
290, 10, 215209, 215209, 0
300, 10, 216847, 216847, 0
310, 10, 216729, 216729, 0
320, 10, 213752, 213752, 0
330, 10, 214221, 214221, 0
340, 10, 214629, 214629, 0
350, 10, 214979, 214979, 0
360, 10, 215694, 215694, 0
370, 10, 216835, 216835, 0
380, 10, 212627, 212627, 0
390, 10, 212982, 212982, 0
400, 10, 214215, 214215, 0
410, 10, 215755, 215755, 0
420, 10, 216262, 216262, 0
430, 10, 215800, 215800, 0
440, 10, 216944, 216944, 0
450, 10, 210543, 210543, 0
460, 10, 213346, 213346, 0
470, 10, 215172, 215172, 0
480, 10, 215358, 215358, 0
490, 10, 215753, 215753, 0
500, 10, 216170, 216170, 0
510, 10, 213832, 213832, 0
520, 10, 213023, 213023, 0
530, 10, 214142, 214142, 0
540, 10, 215122, 215122, 0
550, 10, 214856, 214856, 0
560, 10, 216193, 216193, 0
570, 10, 216307, 216307, 0
580, 10, 210823, 210823, 0
590, 10, 213878, 213878, 0
600, 10, 213705, 213705, 0
610, 10, 215689, 215689, 0
620, 10, 215135, 215135, 0
630, 10, 216075, 216075, 0
640, 10, 214230, 214230, 0
650, 10, 212578, 212578, 0
660, 10, 214391, 214391, 0
670, 10, 215008, 215008, 0
680, 10, 215402, 215402, 0
690, 10, 216683, 216683, 0
700, 10, 216378, 216378, 0
710, 10, 211552, 211552, 0
720, 10, 213009, 213009, 0
730, 10, 215131, 215131, 0
740, 10, 214510, 214510, 0
750, 10, 215363, 215363, 0
760, 10, 216792, 216792, 0
770, 10, 214309, 214309, 0
780, 10, 211487, 211487, 0
790, 10, 213701, 213701, 0
800, 10, 214359, 214359, 0
810, 10, 214953, 214953, 0
820, 10, 216565, 216565, 0
830, 10, 216723, 216723, 0
840, 10, 212163, 212163, 0
850, 10, 213780, 213780, 0
860, 10, 213867, 213867, 0
870, 10, 215548, 215548, 0
880, 10, 216052, 216052, 0
890, 10, 215721, 215721, 0
900, 10, 214926, 214926, 0
910, 10, 210927, 210927, 0
920, 10, 214382, 214382, 0
930, 10, 214201, 214201, 0
940, 10, 214701, 214701, 0
950, 10, 215554, 215554, 0
960, 10, 215267, 215267, 0
970, 10, 212463, 212463, 0
980, 10, 212376, 212376, 0
990, 10, 214457, 214457, 0
1000, 10, 214701, 214701, 0
1010, 10, 215654, 215654, 0
1020, 10, 215118, 215118, 0
1030, 10, 215356, 215356, 0
1040, 10, 210620, 210620, 0
1050, 10, 213866, 213866, 0
1060, 10, 214459, 214459, 0
1070, 10, 214650, 214650, 0
1080, 10, 215435, 215435, 0
1090, 10, 215879, 215879, 0
1100, 10, 213461, 213461, 0
1110, 10, 213181, 213181, 0
1120, 10, 213841, 213841, 0
1130, 10, 214370, 214370, 0
1140, 10, 215818, 215818, 0
1150, 10, 214888, 214888, 0
1160, 10, 216129, 216129, 0
1170, 10, 210206, 210206, 0
1180, 10, 212859, 212859, 0
1190, 10, 214249, 214249, 0
1200, 10, 215528, 215528, 0
1201, 1, 18980, 18980, 0
