elapsed, window, total, successful, failed
10, 10, 222579, 222579, 0
20, 10, 217834, 217834, 0
30, 10, 217770, 217770, 0
40, 10, 217908, 217908, 0
50, 10, 217821, 217821, 0
60, 10, 218243, 218243, 0
70, 10, 217775, 217775, 0
80, 10, 217497, 217497, 0
90, 10, 217717, 217717, 0
100, 10, 217493, 217493, 0
110, 10, 217934, 217934, 0
120, 10, 218032, 218032, 0
130, 10, 217981, 217981, 0
140, 10, 217632, 217632, 0
150, 10, 217739, 217739, 0
160, 10, 217757, 217757, 0
170, 10, 217410, 217410, 0
180, 10, 217851, 217851, 0
190, 10, 217719, 217719, 0
200, 10, 217629, 217629, 0
210, 10, 217949, 217949, 0
220, 10, 217845, 217845, 0
230, 10, 217633, 217633, 0
240, 10, 217820, 217820, 0
250, 10, 217501, 217501, 0
260, 10, 217526, 217526, 0
270, 10, 217836, 217836, 0
280, 10, 217805, 217805, 0
290, 10, 217563, 217563, 0
300, 10, 217413, 217413, 0
310, 10, 217796, 217796, 0
320, 10, 217784, 217784, 0
330, 10, 217612, 217612, 0
340, 10, 217828, 217828, 0
350, 10, 217789, 217789, 0
360, 10, 217652, 217652, 0
370, 10, 217785, 217785, 0
380, 10, 217894, 217894, 0
390, 10, 217564, 217564, 0
400, 10, 218226, 218226, 0
410, 10, 217781, 217781, 0
420, 10, 217415, 217415, 0
430, 10, 217185, 217185, 0
440, 10, 218077, 218077, 0
450, 10, 217764, 217764, 0
460, 10, 218014, 218014, 0
470, 10, 218165, 218165, 0
480, 10, 217664, 217664, 0
490, 10, 217781, 217781, 0
500, 10, 218286, 218286, 0
510, 10, 218218, 218218, 0
520, 10, 217399, 217399, 0
530, 10, 217784, 217784, 0
540, 10, 218427, 218427, 0
550, 10, 217875, 217875, 0
560, 10, 217735, 217735, 0
570, 10, 217720, 217720, 0
580, 10, 217899, 217899, 0
590, 10, 218100, 218100, 0
600, 10, 217549, 217549, 0
610, 10, 218208, 218208, 0
620, 10, 217412, 217412, 0
630, 10, 217856, 217856, 0
640, 10, 217864, 217864, 0
650, 10, 217667, 217667, 0
660, 10, 217887, 217887, 0
670, 10, 217751, 217751, 0
680, 10, 217660, 217660, 0
690, 10, 217761, 217761, 0
700, 10, 218243, 218243, 0
710, 10, 218329, 218329, 0
720, 10, 217814, 217814, 0
730, 10, 217796, 217796, 0
740, 10, 217777, 217777, 0
750, 10, 217622, 217622, 0
760, 10, 217320, 217320, 0
770, 10, 218028, 218028, 0
780, 10, 217345, 217345, 0
790, 10, 217637, 217637, 0
800, 10, 217745, 217745, 0
810, 10, 217702, 217702, 0
820, 10, 217171, 217171, 0
830, 10, 217790, 217790, 0
840, 10, 217770, 217770, 0
850, 10, 217726, 217726, 0
860, 10, 217702, 217702, 0
870, 10, 217596, 217596, 0
880, 10, 217829, 217829, 0
890, 10, 217815, 217815, 0
900, 10, 217665, 217665, 0
910, 10, 217886, 217886, 0
920, 10, 217588, 217588, 0
930, 10, 217763, 217763, 0
940, 10, 217243, 217243, 0
950, 10, 217862, 217862, 0
960, 10, 217861, 217861, 0
970, 10, 217229, 217229, 0
980, 10, 217707, 217707, 0
990, 10, 217359, 217359, 0
1000, 10, 217705, 217705, 0
1010, 10, 217867, 217867, 0
1020, 10, 217472, 217472, 0
1030, 10, 217659, 217659, 0
1040, 10, 217601, 217601, 0
1050, 10, 217762, 217762, 0
1060, 10, 217751, 217751, 0
1070, 10, 217672, 217672, 0
1080, 10, 217669, 217669, 0
1090, 10, 217539, 217539, 0
1100, 10, 217592, 217592, 0
1110, 10, 217543, 217543, 0
1120, 10, 218041, 218041, 0
1130, 10, 217545, 217545, 0
1140, 10, 217676, 217676, 0
1150, 10, 218149, 218149, 0
1160, 10, 217377, 217377, 0
1170, 10, 217532, 217532, 0
1180, 10, 217739, 217739, 0
1190, 10, 217409, 217409, 0
1200, 10, 218213, 218213, 0
1201, 1, 19225, 19225, 0
